objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237651539251888294,201.217389045793,66.9298338524248,4.96321,18.39877,17.50618,17.04758,0.1720616,AGN,10.48,0.7
1237654605863649499,162.503259639246,4.96277654401644,12.65989,16.19425,15.21977,14.72227,0.07199851,AGN,11.25,0.2
1237654602642817183,163.048928519451,5.55927859171223,5.173002,18.89237,17.73416,17.23736,0.1560915,AGN,10.54,0.2
1237654602642882656,163.04854146918,5.68273310972951,4.476689,18.21227,17.3946,16.99296,0.155102,AGN,10.37,0.4
1237654601569271910,163.406431843798,4.75103792848775,5.311711,18.04362,17.29352,16.9211,0.118667,AGN,10.43,0.5
1237654600496578704,165.938815397795,4.03095251071034,4.593393,17.53811,16.80538,16.35742,0.09556925,AGN,10.17,0.6
1237654604254281893,165.372532677016,3.83470513896595,6.10843,17.31517,16.52025,16.11337,0.09199459,AGN,10.29,0.2
1237654604791021828,165.101061716903,4.17931961474641,10.08943,16.4229,15.75522,15.37948,0.03838095,AGN,9.69,0.1
1237654606938636516,165.323001186218,5.78506507917136,4.500492,17.42327,16.7376,16.28778,0.1530144,AGN,10.45,3.2
1237654601034235941,167.687029232093,4.51083745933477,23.69867,14.97404,14.14563,13.75346,0.02886566,AGN,10.7,0.2
1237654604791545888,166.189452742326,4.29869271798515,11.08868,15.22584,14.49611,14.13126,0.02522886,AGN,9.89,0.1
1237654605865353292,166.337421928848,5.00964474103405,5.206132,17.76253,16.99906,16.548,0.1020694,AGN,10.14,0.3
1237654879662112943,212.239456398792,3.92594577255001,4.963671,18.37278,17.29579,16.83718,0.1815813,AGN,10.66,0.2
1237654881272135856,210.920406442353,5.19292841757711,7.065358,18.3695,17.56151,17.15681,0.1429953,AGN,10.12,0.6
1237651822707343610,211.362454917337,4.67399822357838,4.021313,18.4942,17.48586,16.97545,0.158223,AGN,10.5,0.8
1237651823244607624,212.184641418299,5.03527586510164,5.308326,17.85462,17.08044,16.64133,0.1388989,AGN,10.33,0.9
1237654879126421581,214.997078270427,3.43088118233887,4.363612,17.7139,17.00474,16.61008,0.1356587,AGN,10.3,0.9
1237654880199508099,213.465656913423,4.36915586272862,5.074262,18.50515,17.73852,17.35101,0.144858,AGN,10.11,0.9
1237654879125504289,212.887296882102,3.40543462533456,6.088277,18.6049,17.58756,17.12291,0.1791831,AGN,10.76,2.8
1237651822171062471,212.710426738756,4.11120395444841,9.006914,17.2126,16.51638,16.10995,0.07582489,AGN,9.97,0.2
1237651823245263124,213.81366795872,4.8990113466366,5.878604,17.19061,16.44423,16.07053,0.05797697,AGN,9.95,0.1
1237654879127011498,216.272920305817,3.23312247694738,10.32992,15.45796,14.61531,14.20732,0.03559589,AGN,10.65,0.5
1237654881273839710,214.802227439535,5.17011397448035,5.426776,17.50392,16.75209,16.32069,0.07944195,AGN,10.08,0.1
1237656240633675985,356.436417471851,13.8318011705098,6.658838,17.60383,16.8478,16.37859,0.1169248,AGN,10.52,3.5
1237656240633282749,355.549599029616,13.6946972829627,9.718828,16.83325,15.9655,15.48734,0.09064391,AGN,10.9,2.4
1237656495111536838,354.961697166792,14.3645374412361,6.519865,17.91008,17.03669,16.54001,0.1008143,AGN,10.26,0.3
1237656240634593462,358.601673346507,13.7889257426198,3.333348,18.40506,17.59834,17.18513,0.1362474,AGN,10.45,1.4
1237652942638022884,359.025178859047,14.4855517678606,8.588806,16.64104,15.87549,15.4611,0.07719219,AGN,10.52,1.4
1237652943174566103,358.265790703675,14.8865410319959,9.093428,17.18072,16.23412,15.80625,0.1147547,AGN,10.69,1.2
1237656494575911191,358.00174672005,14.0678358539286,5.508963,18.00289,17.00726,16.46649,0.1050429,AGN,10.44,0.1
1237656241708073181,357.964500949722,14.6371486542699,4.461723,17.71957,16.94488,16.47169,0.140308,AGN,10.42,1.1
1237656494575911063,357.871335912166,14.068387917349,12.46723,15.80933,15.11021,14.72419,0.0392989,AGN,10.35,1.8
1237652942101872831,0.77145819708926,13.9263525358982,4.858927,18.08215,17.29538,16.81245,0.1092425,AGN,10.05,0.5
1237656495113568556,359.821278561253,14.697733161954,6.992013,17.18957,16.21303,15.77446,0.09610558,AGN,10.74,0.1
1237652943175352448,0.115227487983702,14.9401957977788,5.251816,18.30425,17.44629,16.95968,0.1586011,AGN,10.45,2.0
1237652942102397066,1.90834097057649,13.9296524488757,10.09602,17.4011,16.38041,15.88957,0.142288,AGN,10.86,3.1
1237656495650767088,0.503440061085257,15.0256292212286,10.2197,15.9781,15.13633,14.73343,0.03571535,AGN,10.54,0.1
1237652944249815192,1.84229654183002,15.6365395435629,10.5715,17.0818,16.10681,15.61382,0.1164538,AGN,11.03,4.1
1237656496724902119,1.50962411774321,15.9917656924893,17.60344,15.69809,14.90648,14.49268,0.05419708,AGN,10.71,2.5
1237653650762760316,3.64744058753496,13.9482819315113,3.753551,18.35349,17.51072,17.03939,0.1391605,AGN,10.21,0.4
1237652942639398970,2.28294787735263,14.4655053969699,5.984978,15.71852,14.94011,14.50519,0.04143009,AGN,10.12,0.1
1237656495651487833,2.17311817745355,15.183181455599,7.523547,17.20054,16.30695,15.84482,0.1291695,AGN,10.7,0.6
1237656496725491854,2.8622716695445,15.8915864351233,9.108824,18.04967,17.14111,16.60768,0.09989184,AGN,10.48,0.9
1237653652910702763,4.74748832664227,15.7271314670775,3.421026,18.65708,17.86327,17.43723,0.1752586,AGN,10.33,1.5
1237653653448228994,6.231044976649,16.1375045732091,4.631982,17.5736,16.78,16.29288,0.08140446,AGN,10.08,0.2
1237658303815155845,157.34619638126,57.3316825742402,13.99628,15.96683,15.2686,14.85544,0.08222979,AGN,10.78,5.0
1237658302742003929,160.290978255302,56.931587292545,7.59561,18.19557,17.19778,16.71791,0.1851807,AGN,10.73,2.3
1237658303815614601,159.064475244565,57.6541441553785,4.227364,18.06814,17.19547,16.704,0.1133277,AGN,10.38,0.5
1237658302206181480,164.764463039173,57.3652872707343,6.905357,17.75993,17.00675,16.52274,0.1187815,AGN,10.42,1.3
1237655107299442903,164.25331771042,57.6137863680594,7.20786,17.02694,16.16721,15.73912,0.1354413,AGN,10.79,2.6
1237658303816728717,163.621618146733,58.4890634266612,5.886317,18.33059,17.56709,17.17821,0.1615124,AGN,10.32,0.5
1237655107836969039,166.728609391992,58.3809579723271,5.264743,18.14492,17.10472,16.60115,0.1127561,AGN,10.95,0.2
1237658303817384147,166.492230276395,59.009196735569,5.151176,18.16642,17.28988,16.81572,0.1261788,AGN,10.71,1.5
1237655106764013692,170.456809746227,57.9623211001133,4.142134,18.37546,17.70334,17.35736,0.1554594,AGN,10.28,2.9
1237658302207623397,170.732220627424,58.2995200640154,12.60488,16.30894,15.4321,15.02614,0.05391221,AGN,10.72,0.4
1237658302744625253,170.887682362085,58.6501784229719,4.330313,18.06623,17.28426,16.8643,0.09667167,AGN,10.37,1.2
1237658303281299643,170.114512129466,58.9370560049582,5.321961,18.11121,17.03905,16.63117,0.1587465,AGN,11.0,1.1
1237655107838017607,171.214188412783,58.9792736418159,3.861803,17.95356,17.20282,16.77085,0.1006201,AGN,10.36,1.5
1237655107838607465,173.744995611796,59.2287918171214,7.567499,17.74832,16.91628,16.48715,0.1540612,AGN,10.62,1.0
1237648705658486981,200.938471884793,1.04206002038167,15.99793,16.52118,15.66296,15.2267,0.1061958,AGN,10.64,0.1
1237648721255203143,235.914542096481,-0.176719510687248,5.460184,17.54724,16.71411,16.26342,0.0952584,AGN,10.24,0.4
1237648674532295222,244.203593139615,0.380995015395432,3.113895,18.75118,17.8622,17.40832,0.169668,AGN,10.29,1.4
1237663542610952421,334.17341353396,-0.451067298333724,7.05016,17.29003,16.51911,16.06093,0.08854172,AGN,10.49,2.5
1237666339724984453,14.688236148215,0.382907040383361,4.066198,18.10485,17.39857,17.07067,0.06207767,AGN,9.57,0.1
1237666300017770658,48.1675067979592,-0.56748174275672,3.203948,18.1636,17.35546,16.90773,0.07463223,AGN,9.87,0.1
1237666213533450469,19.0844824378636,15.1180493390684,6.063937,18.43833,17.50078,17.01913,0.1287687,AGN,10.34,0.4
1237651701378056413,130.352545842465,53.7620672402482,5.664958,17.7837,16.92793,16.51185,0.118421,AGN,10.47,1.3
1237651752919171245,140.201382056794,1.04452900102381,6.769356,17.895,17.02651,16.54042,0.1404543,AGN,10.68,3.1
1237673708259049807,140.424925709242,1.75784471082875,5.940271,18.79297,17.90222,17.46606,0.1438837,AGN,10.18,0.3
1237651271903805635,203.42385961318,65.6053249546707,6.241407,17.84844,17.11236,16.73815,0.1575604,AGN,10.61,3.4
1237651540326416548,206.366972852872,67.3033592789887,6.337364,17.87977,16.97826,16.53336,0.142984,AGN,10.47,0.3
1237651822709768383,216.91641453046,4.33727469953018,4.234941,17.37569,16.55043,16.11628,0.05636764,AGN,9.91,0.2
1237651823783968912,217.950265995865,5.04126029604738,7.593321,18.0975,17.38641,16.96043,0.1992657,AGN,10.79,19.1
1237651822174470445,220.493533249544,3.68767104546711,4.980716,17.63769,16.81902,16.37328,0.06402048,AGN,9.91,0.2
1237651822173487263,218.177163876037,3.84777944730211,3.945606,18.49119,17.64374,17.16993,0.1059989,AGN,9.96,0.1
1237654879129239643,221.366835651619,2.99554587924037,6.068514,18.27905,17.50569,17.1126,0.1135902,AGN,10.19,0.1
1237654881277116728,222.355414257252,4.69922425370138,4.121488,18.2854,17.6699,17.26455,0.08235738,AGN,9.57,0.4
1237651822712324269,222.698632639107,4.00365053531205,3.576232,18.515,17.6989,17.26275,0.1260973,AGN,10.13,0.3
