objid,ra,dec,petror90_r,g,r,i,z,subClass,logMass,SFR
1237654601565536415,154.958902535958,4.41166493116387,4.435709,17.8675,17.46468,17.13385,0.06162931,STARBURST,9.5,0.9
1237654390564323342,117.064219354002,35.6709099306684,4.377261,18.01979,17.49205,17.08351,0.117865,STARBURST,10.27,2.9
1237654030863499419,167.030092577665,3.16164192811299,4.698133,17.68633,17.37735,17.20552,0.06156467,STARBURST,8.88,0.6
1237653665787740607,131.795969707624,2.24292138904202,3.890699,18.18081,17.70881,17.40522,0.1392124,STARBURST,9.88,2.9
1237653664723828827,154.171348814589,2.07459675974046,10.56634,16.83624,16.45135,16.36115,0.01498001,STARBURST,8.25,0.1
1237653613720502299,135.94725051072,52.0169514744723,3.978342,18.06968,17.48111,17.09626,0.0620349,STARBURST,9.52,0.4
1237653500970205387,38.7082404319072,-8.86170920348555,4.431209,16.97856,16.65534,16.41235,0.04313967,STARBURST,9.16,1.0
1237651752920875198,144.111286066975,1.19145508204121,8.400092,16.94022,16.72454,16.64137,0.01629058,STARBURST,8.08,0.1
1237651540323598460,189.328838449959,68.591745488333,3.237403,17.35883,16.89049,16.49588,0.06438116,STARBURST,9.7,0.9
1237651273513631849,199.761359736777,67.3556504998703,4.580945,17.74165,17.51977,17.42196,0.02115127,STARBURST,8.04,0.1
1237651272962212113,131.068426691949,55.080389213487,5.468159,17.8656,17.35535,16.98505,0.07957339,STARBURST,9.55,0.6
1237651271898497241,173.203181811959,66.2952353910683,4.101929,17.71611,17.20303,16.80073,0.1128616,STARBURST,10.38,3.3
1237651250967412940,211.951998777687,62.2403612471594,4.492966,18.40675,17.81638,17.41841,0.08908915,STARBURST,9.76,0.6
1237651192434327639,137.653033747315,56.6280833345734,4.586185,18.08441,17.45591,17.06013,0.04610359,STARBURST,9.27,0.4
1237651192423055724,113.792555408061,36.3625948695753,3.74273,18.16642,17.78734,17.43478,0.0845094,STARBURST,9.43,1.8
1237651067886829698,167.270398986236,65.0732364094412,3.411654,18.4834,18.10663,17.84929,0.07740779,STARBURST,8.9,0.2
1237649962459070577,58.9093138706799,-6.00915744758415,4.888158,18.03218,17.42411,17.02066,0.1242809,STARBURST,10.16,2.8
1237649920581304430,26.6972798614871,14.5790482324698,4.971134,17.99265,17.11913,16.60332,0.06302013,STARBURST,9.86,0.1
1237649920039452815,15.0283910983168,14.9686198563459,5.399399,17.52411,16.98121,16.6557,0.04644625,STARBURST,9.25,0.3
1237649919506448496,24.0470128603386,13.9701139678386,8.595319,16.72521,16.49293,16.37177,0.02363942,STARBURST,8.57,0.4
